Most common words,Absolute frequency,Relative frequency
hot,164.0,0.0007652073291931262
sat,163.0,0.0007605414308443876
side,162.0,0.0007558755324956491
hall,161.0,0.0007512096341469105
free,160.0,0.0007465437357981719
tyrell,159.0,0.0007418778374494333
new,158.0,0.0007372119391006948
frey,158.0,0.0007372119391006948
bastard,157.0,0.0007325460407519562
horses,157.0,0.0007325460407519562
moment,157.0,0.0007325460407519562
arms,156.0,0.0007278801424032176
child,155.0,0.000723214244054479
landing,154.0,0.0007185483457057405
upon,154.0,0.0007185483457057405
fear,154.0,0.0007185483457057405
laughed,150.0,0.0006998847523107862
rock,150.0,0.0006998847523107862
wedding,150.0,0.0006998847523107862
wildlings,149.0,0.0006952188539620476
wolf,149.0,0.0006952188539620476
trees,148.0,0.000690552955613309
toward,148.0,0.000690552955613309
city,147.0,0.0006858870572645704
fight,146.0,0.0006812211589158319
steel,146.0,0.0006812211589158319
swords,144.0,0.0006718893622183548
dragons,144.0,0.0006718893622183548
thick,144.0,0.0006718893622183548
fell,144.0,0.0006718893622183548
sons,144.0,0.0006718893622183548
brown,143.0,0.0006672234638696161
pulled,143.0,0.0006672234638696161
burned,143.0,0.0006672234638696161
riverrun,142.0,0.0006625575655208776
word,142.0,0.0006625575655208776
maybe,142.0,0.0006625575655208776
heavy,142.0,0.0006625575655208776
oh,142.0,0.0006625575655208776
war,142.0,0.0006625575655208776
clegane,142.0,0.0006625575655208776
jorah,142.0,0.0006625575655208776
mormont,141.0,0.000657891667172139
part,140.0,0.0006532257688234005
thousand,139.0,0.0006485598704746618
remember,139.0,0.0006485598704746618
rest,139.0,0.0006485598704746618
bed,139.0,0.0006485598704746618
without,138.0,0.0006438939721259233
remembered,138.0,0.0006438939721259233
taken,137.0,0.0006392280737771847
days,137.0,0.0006392280737771847
bolton,137.0,0.0006392280737771847
close,136.0,0.0006345621754284462
fool,135.0,0.0006298962770797075
began,135.0,0.0006298962770797075
uncle,135.0,0.0006298962770797075
open,134.0,0.000625230378730969
commander,134.0,0.000625230378730969
meant,134.0,0.000625230378730969
smile,134.0,0.000625230378730969
rode,134.0,0.000625230378730969
ygritte,134.0,0.000625230378730969
speak,133.0,0.0006205644803822304
sleep,132.0,0.0006158985820334919
life,132.0,0.0006158985820334919
throat,131.0,0.0006112326836847532
air,131.0,0.0006112326836847532
wench,131.0,0.0006112326836847532
edmure,131.0,0.0006112326836847532
second,130.0,0.0006065667853360146
coming,130.0,0.0006065667853360146
pale,130.0,0.0006065667853360146
dozen,130.0,0.0006065667853360146
wed,130.0,0.0006065667853360146
ice,129.0,0.0006019008869872761
inside,128.0,0.0005972349886385376
else,128.0,0.0005972349886385376
feel,127.0,0.0005925690902897989
bring,127.0,0.0005925690902897989
love,127.0,0.0005925690902897989
help,127.0,0.0005925690902897989
next,127.0,0.0005925690902897989
smiled,127.0,0.0005925690902897989
together,126.0,0.0005879031919410603
four,126.0,0.0005879031919410603
someone,126.0,0.0005879031919410603
moved,126.0,0.0005879031919410603
set,126.0,0.0005879031919410603
gendry,126.0,0.0005879031919410603
petyr,126.0,0.0005879031919410603
deep,125.0,0.0005832372935923218
huge,125.0,0.0005832372935923218
tongue,125.0,0.0005832372935923218
brave,125.0,0.0005832372935923218
full,124.0,0.0005785713952435833
gate,124.0,0.0005785713952435833
table,124.0,0.0005785713952435833
sea,123.0,0.0005739054968948447
legs,123.0,0.0005739054968948447
certain,123.0,0.0005739054968948447
honor,123.0,0.0005739054968948447
rain,123.0,0.0005739054968948447
steps,123.0,0.0005739054968948447
silver,123.0,0.0005739054968948447
lem,123.0,0.0005739054968948447
squire,122.0,0.000569239598546106
hope,122.0,0.000569239598546106
call,122.0,0.000569239598546106
soft,121.0,0.0005645737001973675
please,121.0,0.0005645737001973675
lysa,121.0,0.0005645737001973675
flames,120.0,0.000559907801848629
neck,119.0,0.0005552419034998904
ground,119.0,0.0005552419034998904
sun,119.0,0.0005552419034998904
given,119.0,0.0005552419034998904
caught,118.0,0.0005505760051511517
held,118.0,0.0005505760051511517
least,118.0,0.0005505760051511517
hold,117.0,0.0005459101068024132
beric,117.0,0.0005459101068024132
alone,116.0,0.0005412442084536746
mine,116.0,0.0005412442084536746
women,115.0,0.0005365783101049361
reached,115.0,0.0005365783101049361
ran,115.0,0.0005365783101049361
tall,115.0,0.0005365783101049361
instead,115.0,0.0005365783101049361
dragon,115.0,0.0005365783101049361
teeth,114.0,0.0005319124117561974
rose,114.0,0.0005319124117561974
pie,114.0,0.0005319124117561974
blue,113.0,0.0005272465134074589
grenn,113.0,0.0005272465134074589
shoulder,113.0,0.0005272465134074589
skin,113.0,0.0005272465134074589
ride,113.0,0.0005272465134074589
world,113.0,0.0005272465134074589
knights,113.0,0.0005272465134074589
jojen,113.0,0.0005272465134074589
morning,112.0,0.0005225806150587203
meera,112.0,0.0005225806150587203
sometimes,111.0,0.0005179147167099818
turn,111.0,0.0005179147167099818
broken,111.0,0.0005179147167099818
wondered,111.0,0.0005179147167099818
floor,111.0,0.0005179147167099818
song,110.0,0.0005132488183612431
send,110.0,0.0005132488183612431
margaery,110.0,0.0005132488183612431
fat,109.0,0.0005085829200125046
since,109.0,0.0005085829200125046
people,109.0,0.0005085829200125046
things,108.0,0.000503917021663766
harrenhal,108.0,0.000503917021663766
nose,108.0,0.000503917021663766
matter,108.0,0.000503917021663766
times,108.0,0.000503917021663766
lords,108.0,0.000503917021663766
five,107.0,0.0004992511233150275
death,107.0,0.0004992511233150275
shouted,107.0,0.0004992511233150275
foot,106.0,0.0004945852249662888
throne,105.0,0.0004899193266175503
cannot,105.0,0.0004899193266175503
oberyn,105.0,0.0004899193266175503
storm,104.0,0.00048525342826881174
stand,104.0,0.00048525342826881174
kept,104.0,0.00048525342826881174
ask,103.0,0.00048058752992007314
suddenly,103.0,0.00048058752992007314
kingsguard,103.0,0.00048058752992007314
used,103.0,0.00048058752992007314
near,102.0,0.0004759216315713346
believe,102.0,0.0004759216315713346
doubt,102.0,0.0004759216315713346
wish,102.0,0.0004759216315713346
aemon,101.0,0.000471255733222596
beyond,101.0,0.000471255733222596
closed,101.0,0.000471255733222596
fist,100.0,0.00046658983487385744
raised,100.0,0.00046658983487385744
shield,100.0,0.00046658983487385744
opened,100.0,0.00046658983487385744
cup,100.0,0.00046658983487385744
tom,100.0,0.00046658983487385744
leather,99.0,0.00046192393652511884
room,99.0,0.00046192393652511884
sky,99.0,0.00046192393652511884
spear,98.0,0.0004572580381763803
feast,98.0,0.0004572580381763803
leg,98.0,0.0004572580381763803
truth,98.0,0.0004572580381763803
stupid,97.0,0.00045259213982764174
watched,97.0,0.00045259213982764174
forward,97.0,0.00045259213982764174
gregor,97.0,0.00045259213982764174
safe,96.0,0.00044792624147890314
wore,96.0,0.00044792624147890314
none,96.0,0.00044792624147890314
tree,96.0,0.00044792624147890314
armor,96.0,0.00044792624147890314
outside,96.0,0.00044792624147890314
craster,95.0,0.0004432603431301646
crown,95.0,0.0004432603431301646
shadow,94.0,0.000438594444781426
food,94.0,0.000438594444781426
walked,94.0,0.000438594444781426
beard,94.0,0.000438594444781426
wood,94.0,0.000438594444781426
top,93.0,0.00043392854643268744
wet,93.0,0.00043392854643268744
aye,93.0,0.00043392854643268744
warm,93.0,0.00043392854643268744
bronn,93.0,0.00043392854643268744
melisandre,93.0,0.00043392854643268744
unsullied,93.0,0.00043392854643268744
arrow,92.0,0.00042926264808394884
south,92.0,0.00042926264808394884
eye,92.0,0.00042926264808394884
six,92.0,0.00042926264808394884
husband,92.0,0.00042926264808394884
sure,91.0,0.0004245967497352103
blade,91.0,0.0004245967497352103
yellow,91.0,0.0004245967497352103
golden,91.0,0.0004245967497352103
dwarf,91.0,0.0004245967497352103
thin,90.0,0.0004199308513864717
wildling,90.0,0.0004199308513864717
eat,90.0,0.0004199308513864717
answer,90.0,0.0004199308513864717
step,90.0,0.0004199308513864717
dogs,89.0,0.00041526495303773314
chest,89.0,0.00041526495303773314
wolves,89.0,0.00041526495303773314
belly,89.0,0.00041526495303773314
third,88.0,0.00041059905468899453
bad,88.0,0.00041059905468899453
later,88.0,0.00041059905468899453
aside,88.0,0.00041059905468899453
lie,88.0,0.00041059905468899453
arrows,87.0,0.000405933156340256
spoke,87.0,0.000405933156340256
run,87.0,0.000405933156340256
either,87.0,0.000405933156340256
summer,87.0,0.000405933156340256
short,86.0,0.0004012672579915174
returned,86.0,0.0004012672579915174
drew,86.0,0.0004012672579915174
ten,86.0,0.0004012672579915174
mountain,86.0,0.0004012672579915174
remained,86.0,0.0004012672579915174
fighting,86.0,0.0004012672579915174
varys,86.0,0.0004012672579915174
thoros,86.0,0.0004012672579915174
liked,85.0,0.00039660135964277883
empty,85.0,0.00039660135964277883
lay,85.0,0.00039660135964277883
breath,84.0,0.00039193546129404023
command,84.0,0.00039193546129404023
sight,84.0,0.00039193546129404023
dagger,84.0,0.00039193546129404023
captain,84.0,0.00039193546129404023
waiting,83.0,0.0003872695629453017
known,83.0,0.0003872695629453017
broke,83.0,0.0003872695629453017
smell,82.0,0.0003826036645965631
show,82.0,0.0003826036645965631
talk,82.0,0.0003826036645965631
kiss,82.0,0.0003826036645965631
renly,82.0,0.0003826036645965631
gilly,82.0,0.0003826036645965631
strength,81.0,0.00037793776624782453
running,81.0,0.00037793776624782453
wrong,81.0,0.00037793776624782453
stop,81.0,0.00037793776624782453
hurt,81.0,0.00037793776624782453
horn,81.0,0.00037793776624782453
trying,81.0,0.00037793776624782453
loras,81.0,0.00037793776624782453
sharp,80.0,0.00037327186789908593
bit,80.0,0.00037327186789908593
try,80.0,0.00037327186789908593
fall,80.0,0.00037327186789908593
round,80.0,0.00037327186789908593
lips,80.0,0.00037327186789908593
finally,80.0,0.00037327186789908593
serve,80.0,0.00037327186789908593
born,80.0,0.00037327186789908593
joff,80.0,0.00037327186789908593
sworn,79.0,0.0003686059695503474
burning,79.0,0.0003686059695503474
longer,79.0,0.0003686059695503474
ned,79.0,0.0003686059695503474
onto,79.0,0.0003686059695503474
spears,79.0,0.0003686059695503474
reach,79.0,0.0003686059695503474
led,79.0,0.0003686059695503474
cloaks,79.0,0.0003686059695503474
kings,78.0,0.0003639400712016088
trident,78.0,0.0003639400712016088
looking,78.0,0.0003639400712016088
served,78.0,0.0003639400712016088
master,78.0,0.0003639400712016088
baratheon,78.0,0.0003639400712016088
tormund,78.0,0.0003639400712016088
tully,77.0,0.00035927417285287023
friend,77.0,0.00035927417285287023
eight,77.0,0.00035927417285287023
rayder,77.0,0.00035927417285287023
guards,77.0,0.00035927417285287023
west,77.0,0.00035927417285287023
realized,77.0,0.00035927417285287023
aerys,77.0,0.00035927417285287023
maid,77.0,0.00035927417285287023
stopped,76.0,0.00035460827450413163
cleos,76.0,0.00035460827450413163
casterly,76.0,0.00035460827450413163
pointed,76.0,0.00035460827450413163
seem,76.0,0.00035460827450413163
different,76.0,0.00035460827450413163
stay,75.0,0.0003499423761553931
hill,75.0,0.0003499423761553931
giant,75.0,0.0003499423761553931
needed,75.0,0.0003499423761553931
pay,75.0,0.0003499423761553931
septon,75.0,0.0003499423761553931
kissed,75.0,0.0003499423761553931
reminded,75.0,0.0003499423761553931
dog,74.0,0.0003452764778066545
moon,74.0,0.0003452764778066545
sail,74.0,0.0003452764778066545
wooden,74.0,0.0003452764778066545
commanded,74.0,0.0003452764778066545
quick,74.0,0.0003452764778066545
poor,74.0,0.0003452764778066545
eunuch,74.0,0.0003452764778066545
astapor,74.0,0.0003452764778066545
year,73.0,0.00034061057945791593
fought,73.0,0.00034061057945791593
camp,73.0,0.00034061057945791593
home,73.0,0.00034061057945791593
less,73.0,0.00034061057945791593
shook,73.0,0.00034061057945791593
kevan,73.0,0.00034061057945791593
gift,73.0,0.00034061057945791593
belwas,73.0,0.00034061057945791593
walk,72.0,0.0003359446811091774
shoulders,72.0,0.0003359446811091774
darkness,72.0,0.0003359446811091774
choice,72.0,0.0003359446811091774
singer,72.0,0.0003359446811091774
mad,72.0,0.0003359446811091774
friends,72.0,0.0003359446811091774
blackwater,71.0,0.0003312787827604388
twisted,71.0,0.0003312787827604388
covered,71.0,0.0003312787827604388
point,71.0,0.0003312787827604388
knife,71.0,0.0003312787827604388
crow,71.0,0.0003312787827604388
ones,71.0,0.0003312787827604388
screamed,71.0,0.0003312787827604388
return,71.0,0.0003312787827604388
fair,71.0,0.0003312787827604388
kind,71.0,0.0003312787827604388
ears,71.0,0.0003312787827604388
within,71.0,0.0003312787827604388
shae,71.0,0.0003312787827604388
sandor,71.0,0.0003312787827604388
chett,70.0,0.00032661288441170023
care,70.0,0.00032661288441170023
raven,70.0,0.00032661288441170023
guard,70.0,0.00032661288441170023
boys,70.0,0.00032661288441170023
sooner,70.0,0.00032661288441170023
cell,70.0,0.00032661288441170023
flesh,70.0,0.00032661288441170023
fine,70.0,0.00032661288441170023
noye,70.0,0.00032661288441170023
standing,69.0,0.0003219469860629616
work,69.0,0.0003219469860629616
kingslayer,69.0,0.0003219469860629616
truly,69.0,0.0003219469860629616
captive,69.0,0.0003219469860629616
imp,69.0,0.0003219469860629616
merrett,69.0,0.0003219469860629616
closer,68.0,0.0003172810877142231
quiet,68.0,0.0003172810877142231
offered,68.0,0.0003172810877142231
falling,68.0,0.0003172810877142231
touched,68.0,0.0003172810877142231
followed,68.0,0.0003172810877142231
saddle,68.0,0.0003172810877142231
grew,68.0,0.0003172810877142231
heir,68.0,0.0003172810877142231
bright,68.0,0.0003172810877142231
bones,68.0,0.0003172810877142231
helm,68.0,0.0003172810877142231
pushed,68.0,0.0003172810877142231
direwolf,68.0,0.0003172810877142231
forgotten,67.0,0.0003126151893654845
saying,67.0,0.0003126151893654845
kingdoms,67.0,0.0003126151893654845
low,67.0,0.0003126151893654845
leaves,67.0,0.0003126151893654845
use,67.0,0.0003126151893654845
tears,67.0,0.0003126151893654845
drink,67.0,0.0003126151893654845
often,67.0,0.0003126151893654845
anything,66.0,0.00030794929101674593
mind,66.0,0.00030794929101674593
girls,66.0,0.00030794929101674593
whole,66.0,0.00030794929101674593
promised,66.0,0.00030794929101674593
stepped,66.0,0.00030794929101674593
silk,66.0,0.00030794929101674593
passed,66.0,0.00030794929101674593
yard,66.0,0.00030794929101674593
satin,66.0,0.00030794929101674593
aegon,66.0,0.00030794929101674593
angry,65.0,0.0003032833926680073
taste,65.0,0.0003032833926680073
loose,65.0,0.0003032833926680073
pink,65.0,0.0003032833926680073
worse,65.0,0.0003032833926680073
loved,65.0,0.0003032833926680073
lannisters,65.0,0.0003032833926680073
mercy,65.0,0.0003032833926680073
ship,65.0,0.0003032833926680073
duty,65.0,0.0003032833926680073
magnar,65.0,0.0003032833926680073
rhaegar,65.0,0.0003032833926680073
wide,64.0,0.0002986174943192688
break,64.0,0.0002986174943192688
roof,64.0,0.0002986174943192688
highgarden,64.0,0.0002986174943192688
dorne,64.0,0.0002986174943192688
gates,64.0,0.0002986174943192688
whose,64.0,0.0002986174943192688
ghost,64.0,0.0002986174943192688
slave,64.0,0.0002986174943192688
torch,64.0,0.0002986174943192688
climbed,63.0,0.0002939515959705302
village,63.0,0.0002939515959705302
fast,63.0,0.0002939515959705302
east,63.0,0.0002939515959705302
dream,63.0,0.0002939515959705302
tommen,63.0,0.0002939515959705302
jeyne,63.0,0.0002939515959705302
wait,62.0,0.0002892856976217916
filled,62.0,0.0002892856976217916
save,62.0,0.0002892856976217916
knees,62.0,0.0002892856976217916
road,62.0,0.0002892856976217916
knows,62.0,0.0002892856976217916
fish,62.0,0.0002892856976217916
lifted,62.0,0.0002892856976217916
nine,62.0,0.0002892856976217916
marry,62.0,0.0002892856976217916
bronze,62.0,0.0002892856976217916
slynt,62.0,0.0002892856976217916
outlaws,62.0,0.0002892856976217916
pyp,62.0,0.0002892856976217916
folk,61.0,0.000284619799273053
making,61.0,0.000284619799273053
happened,61.0,0.000284619799273053
late,61.0,0.000284619799273053
aunt,61.0,0.000284619799273053
twins,61.0,0.000284619799273053
ought,61.0,0.000284619799273053
lion,61.0,0.000284619799273053
threw,61.0,0.000284619799273053
realm,61.0,0.000284619799273053
sort,61.0,0.000284619799273053
dragonstone,61.0,0.000284619799273053
agreed,61.0,0.000284619799273053
axe,60.0,0.0002799539009243145
towers,60.0,0.0002799539009243145
met,60.0,0.0002799539009243145
understand,60.0,0.0002799539009243145
bread,60.0,0.0002799539009243145
atop,60.0,0.0002799539009243145
win,60.0,0.0002799539009243145
giants,60.0,0.0002799539009243145
besides,59.0,0.00027528800257557587
twice,59.0,0.00027528800257557587
started,59.0,0.00027528800257557587
course,59.0,0.00027528800257557587
wings,59.0,0.00027528800257557587
crows,59.0,0.00027528800257557587
older,59.0,0.00027528800257557587
says,59.0,0.00027528800257557587
slowly,59.0,0.00027528800257557587
hide,59.0,0.00027528800257557587
knee,59.0,0.00027528800257557587
anguy,59.0,0.00027528800257557587
pyke,59.0,0.00027528800257557587
warned,58.0,0.0002706221042268373
laugh,58.0,0.0002706221042268373
bird,58.0,0.0002706221042268373
hung,58.0,0.0002706221042268373
drunk,58.0,0.0002706221042268373
pain,58.0,0.0002706221042268373
seat,58.0,0.0002706221042268373
westeros,58.0,0.0002706221042268373
frozen,57.0,0.0002659562058780987
slow,57.0,0.0002659562058780987
named,57.0,0.0002659562058780987
boat,57.0,0.0002659562058780987
swear,57.0,0.0002659562058780987
smoke,57.0,0.0002659562058780987
marriage,57.0,0.0002659562058780987
axell,57.0,0.0002659562058780987
