Most common words,GOT1 relative frequency,GOT2 relative frequency,Relative frequency difference
gave,0.0015570683661645423,0.001796370864264351,0.00023930249809980884
brave,0.0003440034762456547,0.0005832372935923218,0.00023923381734666712
thenns,0.0,0.0002379608157856673,0.0002379608157856673
rain,0.00033796832753959057,0.0005739054968948447,0.00023593716935525413
satin,7.242178447276941e-05,0.00030794929101674593,0.00023552750654397652
jeyne,6.035148706064117e-05,0.0002939515959705302,0.00023360010890988901
jarl,0.0,0.00023329491743692872,0.00023329491743692872
girl,0.0015812089609887987,0.001348444622785448,0.00023276433820335063
belwas,0.00010863267670915411,0.00034061057945791593,0.00023197790274876183
edmure,0.0003802143684820394,0.0006112326836847532,0.0002310183152027138
balon,0.0004828118964851294,0.000251958510831883,0.00023085338565324636
kill,0.00071818269602163,0.0009471773647939306,0.0002289946687723006
yunkai,6.035148706064117e-06,0.00023329491743692872,0.0002272597687308646
beneath,0.0011406431054461182,0.0013671082161804023,0.00022646511073428407
dozen,0.0003802143684820394,0.0006065667853360146,0.00022635241685397525
aemon,0.0002474410969486288,0.000471255733222596,0.00022381463627396718
taken,0.0008630262649671688,0.0006392280737771847,0.00022379819118998408
another,0.0012432406334492083,0.0014650920815039124,0.00022185144805470414
whitebeard,3.0175743530320587e-05,0.000251958510831883,0.00022178276730156244
wildling,0.00019915990730011587,0.0004199308513864717,0.00022077094408635582
fist,0.0002474410969486288,0.00046658983487385744,0.00021914873792522864
top,0.00021726535341830822,0.00043392854643268744,0.00021666319301437921
sandor,0.00011466782541521824,0.0003312787827604388,0.00021661095734522054
may,0.0011768539976825029,0.0009611750598401463,0.00021567893784235658
baratheon,0.0005793742757821553,0.0003639400712016088,0.00021543420458054648
kingsguard,0.0002655465430668212,0.00048058752992007314,0.00021504098685325195
step,0.00020519505600618,0.0004199308513864717,0.00021473579538029168
brown,0.00045263615295480883,0.0006672234638696161,0.00021458731091480727
guards,0.0005733391270760912,0.00035927417285287023,0.00021406495422322092
died,0.0006819718037852453,0.0008958524829578063,0.00021388067917256102
lightning,2.414059482425647e-05,0.0002379608157856673,0.00021382022096141083
take,0.002009704519119351,0.001796370864264351,0.00021333365485499988
power,0.0004224604094244882,0.00020996542569323584,0.00021249498373125238
slaves,3.0175743530320587e-05,0.00024262671413440587,0.0002124509706040853
lost,0.0008147450753186559,0.0010264976367224863,0.00021175256140383038
giant,0.0001388084202394747,0.0003499423761553931,0.00021113395591591837
smoke,0.0004767767477790653,0.0002659562058780987,0.00021082054190096655
bolton,0.00042849555813055234,0.0006392280737771847,0.00021073251564663237
meereen,1.8105446118192352e-05,0.00022862901908819014,0.00021052357296999779
feast,0.0002474410969486288,0.0004572580381763803,0.00020981694122775149
raised,0.0006759366550791811,0.00046658983487385744,0.0002093468202053237
eddard,0.00042849555813055234,0.000219297222390713,0.00020919833573983934
never,0.0033676129779837776,0.003158813182096015,0.00020879979588776278
son,0.0018165797605252994,0.0020249998833525413,0.00020842012282724183
arstan,4.828118964851294e-05,0.00025662440918062157,0.00020834321953210863
second,0.00039831981460023173,0.0006065667853360146,0.00020824697073578292
god,0.0004224604094244882,0.00021463132404197442,0.0002078290853825138
wanted,0.0009173426033217459,0.0011244815020459964,0.00020713889872425056
lothar,3.6210892236384704e-05,0.00024262671413440587,0.00020641582189802115
fingers,0.001074256469679413,0.0008678570928653749,0.0002063993768140381
frey,0.0005310930861336424,0.0007372119391006948,0.00020611885296705238
axell,6.035148706064117e-05,0.0002659562058780987,0.00020560471881745756
greyjoy,0.00044660100424874467,0.00024262671413440587,0.0002039742901143388
marsh,6.035148706064117e-06,0.00020996542569323584,0.00020393027698717173
smell,0.0005854094244882194,0.0003826036645965631,0.0002028057598916563
children,0.0006336906141367324,0.0008351958044242048,0.00020150519028747245
daario,0.0,0.0002006336289957587,0.0002006336289957587
steel,0.0008811317110853611,0.0006812211589158319,0.00019991055216952926
spears,0.00016898416376979529,0.0003686059695503474,0.0001996218057805521
